Subject,Verb,value
Napoleon,ber til gud,Napoleon ber til gud
Bislett kebab,ber til gud,Bislett kebab ber til gud
Firfisle,ber til gud,Firfisle ber til gud
Ole brum,ber til gud,Ole brum ber til gud
Naruto,ber til gud,Naruto ber til gud
Tarzan,ber til gud,Tarzan ber til gud
Michael Jackson,ber til gud,Michael Jackson ber til gud
Harald Eia,ber til gud,Harald Eia ber til gud
Atle Antonsen,ber til gud,Atle Antonsen ber til gud
Grillmester,ber til gud,Grillmester ber til gud
Byggmester bob,ber til gud,Byggmester bob ber til gud
Karlson pÃ¥ taket,ber til gud,Karlson pÃ¥ taket ber til gud
Hercules,ber til gud,Hercules ber til gud
Rocky Baboa,ber til gud,Rocky Baboa ber til gud
Jerry Seinfeild,ber til gud,Jerry Seinfeild ber til gud
Ricky Gervais,ber til gud,Ricky Gervais ber til gud
Tyranosaurus rex,ber til gud,Tyranosaurus rex ber til gud
Geralt of Rivia,ber til gud,Geralt of Rivia ber til gud
Homer Simpson,ber til gud,Homer Simpson ber til gud
Skippern,ber til gud,Skippern ber til gud
Joker,ber til gud,Joker ber til gud
Askepott,ber til gud,Askepott ber til gud
Tornerose,ber til gud,Tornerose ber til gud
Peter Pan,ber til gud,Peter Pan ber til gud
Justin Bieber,ber til gud,Justin Bieber ber til gud
Jens Stoltenberg,ber til gud,Jens Stoltenberg ber til gud
Scooby Doo,ber til gud,Scooby Doo ber til gud
Elvis Presley,ber til gud,Elvis Presley ber til gud
Sjaman Durek,ber til gud,Sjaman Durek ber til gud
Han Solo,ber til gud,Han Solo ber til gud
Rex (Kong Harald),ber til gud,Rex (Kong Harald) ber til gud
Olaf fra Frozen,ber til gud,Olaf fra Frozen ber til gud
Svampebob firkant,ber til gud,Svampebob firkant ber til gud
Mr Bean,ber til gud,Mr Bean ber til gud
(sirkus)Klovn,ber til gud,(sirkus)Klovn ber til gud
The Flash,ber til gud,The Flash ber til gud
Mikke Mus,ber til gud,Mikke Mus ber til gud
Donald Duck,ber til gud,Donald Duck ber til gud
Rafiki (lÃ¸venes konge),ber til gud,Rafiki (lÃ¸venes konge) ber til gud
Humlesnurr,ber til gud,Humlesnurr ber til gud
Harry Potter,ber til gud,Harry Potter ber til gud
Voldemort,ber til gud,Voldemort ber til gud
Cookiemonster,ber til gud,Cookiemonster ber til gud
Hufsa,ber til gud,Hufsa ber til gud
Ash Ketchum,ber til gud,Ash Ketchum ber til gud
Jon Snow,ber til gud,Jon Snow ber til gud
Sherlock Holmes,ber til gud,Sherlock Holmes ber til gud
Legolas,ber til gud,Legolas ber til gud
Gollum,ber til gud,Gollum ber til gud
Gandalf,Beskriver jaktinstinkt,Gandalf Beskriver jaktinstinkt
Superman,Beskriver jaktinstinkt,Superman Beskriver jaktinstinkt
Batman,Beskriver jaktinstinkt,Batman Beskriver jaktinstinkt
Crocodile Dundee,Beskriver jaktinstinkt,Crocodile Dundee Beskriver jaktinstinkt
Henrik Ibsen,Beskriver jaktinstinkt,Henrik Ibsen Beskriver jaktinstinkt
Harald hÃ¥rfagre,Beskriver jaktinstinkt,Harald hÃ¥rfagre Beskriver jaktinstinkt
Mikke Mus ,Beskriver jaktinstinkt,Mikke Mus  Beskriver jaktinstinkt
Jule Nissen ,Beskriver jaktinstinkt,Jule Nissen  Beskriver jaktinstinkt
Napolion ,Beskriver jaktinstinkt,Napolion  Beskriver jaktinstinkt
donal Duck,Beskriver jaktinstinkt,donal Duck Beskriver jaktinstinkt
Darth Vader,Beskriver jaktinstinkt,Darth Vader Beskriver jaktinstinkt
Franken Stein ,Beskriver jaktinstinkt,Franken Stein  Beskriver jaktinstinkt
Drakula ,Beskriver jaktinstinkt,Drakula  Beskriver jaktinstinkt
Gotzilla ,Beskriver jaktinstinkt,Gotzilla  Beskriver jaktinstinkt
King Kong,Beskriver jaktinstinkt,King Kong Beskriver jaktinstinkt
Morio ,Beskriver jaktinstinkt,Morio  Beskriver jaktinstinkt
Pikachu,Beskriver jaktinstinkt,Pikachu Beskriver jaktinstinkt
Abraham Lincoln,Beskriver jaktinstinkt,Abraham Lincoln Beskriver jaktinstinkt
Adolf Hitler,Beskriver jaktinstinkt,Adolf Hitler Beskriver jaktinstinkt
Albert Einstein,Beskriver jaktinstinkt,Albert Einstein Beskriver jaktinstinkt
AndrÃ© the Giant,Beskriver jaktinstinkt,AndrÃ© the Giant Beskriver jaktinstinkt
Anne Frank,Beskriver jaktinstinkt,Anne Frank Beskriver jaktinstinkt
Bambi,Beskriver jaktinstinkt,Bambi Beskriver jaktinstinkt
Barack Obama,Beskriver jaktinstinkt,Barack Obama Beskriver jaktinstinkt
Barbie,Beskriver jaktinstinkt,Barbie Beskriver jaktinstinkt
Batman,Beskriver jaktinstinkt,Batman Beskriver jaktinstinkt
Bill Gates,Beskriver jaktinstinkt,Bill Gates Beskriver jaktinstinkt
Captain America,Beskriver jaktinstinkt,Captain America Beskriver jaktinstinkt
Charles Darwin,Beskriver jaktinstinkt,Charles Darwin Beskriver jaktinstinkt
Christiano Ronaldo,Beskriver jaktinstinkt,Christiano Ronaldo Beskriver jaktinstinkt
Christofer Columbus,Beskriver jaktinstinkt,Christofer Columbus Beskriver jaktinstinkt
Cleopatra,Beskriver jaktinstinkt,Cleopatra Beskriver jaktinstinkt
Conor McGregor,Beskriver jaktinstinkt,Conor McGregor Beskriver jaktinstinkt
Darth Vader,Beskriver jaktinstinkt,Darth Vader Beskriver jaktinstinkt
Donald J. Trump,Beskriver jaktinstinkt,Donald J. Trump Beskriver jaktinstinkt
Elvis Presley,Beskriver jaktinstinkt,Elvis Presley Beskriver jaktinstinkt
E.T.,Beskriver jaktinstinkt,E.T. Beskriver jaktinstinkt
Gandalf,Beskriver jaktinstinkt,Gandalf Beskriver jaktinstinkt
Greta Thunberg,Beskriver jaktinstinkt,Greta Thunberg Beskriver jaktinstinkt
Godzilla,Beskriver jaktinstinkt,Godzilla Beskriver jaktinstinkt
Goku,Beskriver jaktinstinkt,Goku Beskriver jaktinstinkt
Grinchen,Beskriver jaktinstinkt,Grinchen Beskriver jaktinstinkt
Hannibal Lector,Beskriver jaktinstinkt,Hannibal Lector Beskriver jaktinstinkt
Harry Potter,Beskriver jaktinstinkt,Harry Potter Beskriver jaktinstinkt
Homer Simpson,Beskriver jaktinstinkt,Homer Simpson Beskriver jaktinstinkt
Hulken,Beskriver jaktinstinkt,Hulken Beskriver jaktinstinkt
Indiana Jones,Beskriver jaktinstinkt,Indiana Jones Beskriver jaktinstinkt
Iron Man,Beskriver jaktinstinkt,Iron Man Beskriver jaktinstinkt
James Bond,Beskriver jaktinstinkt,James Bond Beskriver jaktinstinkt
Jim Carrey,Beskriver jaktinstinkt,Jim Carrey Beskriver jaktinstinkt
John F. Kennedy,Beskriver jaktinstinkt,John F. Kennedy Beskriver jaktinstinkt
Jon Snow,Beskriver jaktinstinkt,Jon Snow Beskriver jaktinstinkt
Joseph Stalin,Beskriver jaktinstinkt,Joseph Stalin Beskriver jaktinstinkt
King Kong,Beskriver jaktinstinkt,King Kong Beskriver jaktinstinkt
Lance Armstrong,Beskriver jaktinstinkt,Lance Armstrong Beskriver jaktinstinkt
Leonardo da Vinci,Beskriver jaktinstinkt,Leonardo da Vinci Beskriver jaktinstinkt
Mahatma Gandhi,Beskriver jaktinstinkt,Mahatma Gandhi Beskriver jaktinstinkt
Mao Zedong,Beskriver jaktinstinkt,Mao Zedong Beskriver jaktinstinkt
Mario,Beskriver jaktinstinkt,Mario Beskriver jaktinstinkt
Martin Luther King,Beskriver jaktinstinkt,Martin Luther King Beskriver jaktinstinkt
Marylin Monroe,blir gravid med en hest.,Marylin Monroe blir gravid med en hest.
Mikke Mus,blir gravid med en hest.,Mikke Mus blir gravid med en hest.
Michael Jackson,blir gravid med en hest.,Michael Jackson blir gravid med en hest.
Michael Jordan,blir gravid med en hest.,Michael Jordan blir gravid med en hest.
Monkey D. Luffy,blir gravid med en hest.,Monkey D. Luffy blir gravid med en hest.
Mor Theresa,blir gravid med en hest.,Mor Theresa blir gravid med en hest.
Muhammad Ali,blir gravid med en hest.,Muhammad Ali blir gravid med en hest.
Mulan,blir gravid med en hest.,Mulan blir gravid med en hest.
Neil Armstrong,blir gravid med en hest.,Neil Armstrong blir gravid med en hest.
Nelson Mandela,blir gravid med en hest.,Nelson Mandela blir gravid med en hest.
Ole Brumm,blir gravid med en hest.,Ole Brumm blir gravid med en hest.
